Time,Setpoint,Position,Error,Command
0.00,50.0,5.0,45.0,100.0
0.01,50.0,4.7,45.2,0.0
0.02,50.0,9.5,40.5,100.0
0.03,50.0,9.0,41.0,0.0
0.04,50.0,13.6,36.4,100.0
0.05,50.0,12.9,37.1,0.0
0.06,50.0,17.3,32.7,100.0
0.07,50.0,16.4,33.6,0.0
0.08,50.0,20.6,29.4,100.0
0.09,50.0,19.5,30.5,0.0
0.10,50.0,23.6,26.4,100.0
0.11,50.0,22.4,27.6,0.0
0.12,50.0,26.3,23.7,100.0
0.13,50.0,25.0,25.0,0.0
0.14,50.0,28.7,21.3,100.0
0.15,50.0,27.3,22.7,0.0
0.16,50.0,30.9,19.1,100.0
0.17,50.0,29.4,20.6,0.0
0.18,50.0,32.9,17.1,100.0
0.19,50.0,31.3,18.7,0.0
0.20,50.0,34.7,15.3,100.0
0.21,50.0,33.0,17.0,0.0
0.22,50.0,36.3,13.7,100.0
0.23,50.0,34.5,15.5,0.0
0.24,50.0,37.8,12.2,100.0
0.25,50.0,35.9,14.1,0.0
0.26,50.0,39.1,10.9,100.0
0.27,50.0,37.1,12.9,0.0
0.28,50.0,40.3,9.7,100.0
0.29,50.0,38.3,11.7,0.0
0.30,50.0,41.3,8.7,100.0
0.31,50.0,39.3,10.7,0.0
0.32,50.0,42.3,7.7,100.0
0.33,50.0,40.2,9.8,0.0
0.34,50.0,43.2,6.8,100.0
0.35,50.0,41.0,9.0,0.0
0.36,50.0,44.0,6.0,100.0
0.37,50.0,41.8,8.2,0.0
0.38,50.0,44.7,5.3,100.0
0.39,50.0,42.5,7.5,0.0
0.40,50.0,45.3,4.7,100.0
0.41,50.0,43.1,6.9,0.0
0.42,50.0,45.9,4.1,100.0
0.43,50.0,43.6,6.4,0.0
0.44,50.0,46.4,3.6,100.0
0.45,50.0,44.1,5.9,0.0
0.46,50.0,46.9,3.1,100.0
0.47,50.0,44.6,5.4,0.0
0.48,50.0,47.3,2.7,100.0
0.49,50.0,45.0,5.0,0.0
0.50,50.0,47.7,2.3,100.0
0.51,50.0,45.3,4.7,0.0
0.52,50.0,48.1,1.9,100.0
0.53,50.0,45.7,4.3,0.0
0.54,50.0,48.4,1.6,100.0
0.55,50.0,46.0,4.0,0.0
0.56,50.0,48.7,1.3,100.0
0.57,50.0,46.2,3.8,0.0
0.58,50.0,48.9,1.1,100.0
0.59,50.0,46.5,3.5,0.0
0.60,50.0,49.1,0.9,100.0
0.61,50.0,46.7,3.3,0.0
0.62,50.0,49.4,0.6,100.0
0.63,50.0,46.9,3.1,0.0
0.64,50.0,49.5,0.5,100.0
0.65,50.0,47.1,2.9,0.0
0.66,50.0,49.7,0.3,100.0
0.67,50.0,47.2,2.8,0.0
0.68,50.0,49.9,0.1,100.0
0.69,50.0,47.4,2.6,0.0
0.70,50.0,50.0,-0.0,100.0
0.71,50.0,47.5,2.5,0.0
0.72,50.0,50.1,-0.1,100.0
0.73,50.0,47.6,2.4,0.0
0.74,50.0,50.2,-0.2,100.0
0.75,50.0,47.7,2.3,0.0
0.76,50.0,50.3,-0.3,100.0
0.77,50.0,47.8,2.2,0.0
0.78,50.0,50.4,-0.4,100.0
0.79,50.0,47.9,2.1,0.0
0.80,50.0,50.5,-0.5,100.0
0.81,50.0,48.0,2.0,0.0
0.82,50.0,50.6,-0.6,100.0
0.83,50.0,48.1,1.9,0.0
0.84,50.0,50.7,-0.7,100.0
0.85,50.0,48.1,1.9,0.0
0.86,50.0,50.7,-0.7,100.0
0.87,50.0,48.2,1.8,0.0
0.88,50.0,50.8,-0.8,100.0
0.89,50.0,48.2,1.8,0.0
0.90,50.0,50.8,-0.8,100.0
0.91,50.0,48.3,1.7,0.0
0.92,50.0,50.9,-0.9,100.0
0.93,50.0,48.3,1.7,0.0
0.94,50.0,50.9,-0.9,100.0
0.95,50.0,48.4,1.6,0.0
0.96,50.0,50.9,-0.9,100.0
0.97,50.0,48.4,1.6,0.0
0.98,50.0,51.0,-1.0,100.0
0.99,50.0,48.4,1.6,0.0
1.00,50.0,51.0,-1.0,100.0
1.01,50.0,48.5,1.5,0.0
1.02,50.0,51.0,-1.0,100.0
1.03,50.0,48.5,1.5,0.0
1.04,50.0,51.1,-1.1,100.0
1.05,50.0,48.5,1.5,0.0
1.06,50.0,51.1,-1.1,100.0
1.07,50.0,48.5,1.5,0.0
1.08,50.0,51.1,-1.1,100.0
1.09,50.0,48.5,1.5,0.0
1.10,50.0,51.1,-1.1,100.0
1.11,50.0,48.6,1.4,0.0
1.12,50.0,51.1,-1.1,100.0
1.13,50.0,48.6,1.4,0.0
1.14,50.0,51.1,-1.1,100.0
1.15,50.0,48.6,1.4,0.0
1.16,50.0,51.2,-1.2,100.0
1.17,50.0,48.6,1.4,0.0
1.18,50.0,51.2,-1.2,100.0
1.19,50.0,48.6,1.4,0.0
1.20,50.0,51.2,-1.2,100.0
1.21,50.0,48.6,1.4,0.0
1.22,50.0,51.2,-1.2,100.0
1.23,50.0,48.6,1.4,0.0
1.24,50.0,51.2,-1.2,100.0
1.25,50.0,48.6,1.4,0.0
1.26,50.0,51.2,-1.2,100.0
1.27,50.0,48.6,1.4,0.0
1.28,50.0,51.2,-1.2,100.0
1.29,50.0,48.7,1.3,0.0
1.30,50.0,51.2,-1.2,100.0
1.31,50.0,48.7,1.3,0.0
1.32,50.0,51.2,-1.2,100.0
1.33,50.0,48.7,1.3,0.0
1.34,50.0,51.2,-1.2,100.0
1.35,50.0,48.7,1.3,0.0
1.36,50.0,51.2,-1.2,100.0
1.37,50.0,48.7,1.3,0.0
1.38,50.0,51.2,-1.2,100.0
1.39,50.0,48.7,1.3,0.0
1.40,50.0,51.2,-1.2,100.0
1.41,50.0,48.7,1.3,0.0
1.42,50.0,51.3,-1.3,100.0
1.43,50.0,48.7,1.3,0.0
1.44,50.0,51.3,-1.3,100.0
1.45,50.0,48.7,1.3,0.0
1.46,50.0,51.3,-1.3,100.0
1.47,50.0,48.7,1.3,0.0
1.48,50.0,51.3,-1.3,100.0
1.49,50.0,48.7,1.3,0.0
1.50,50.0,51.3,-1.3,100.0
1.51,50.0,48.7,1.3,0.0
1.52,50.0,51.3,-1.3,100.0
1.53,50.0,48.7,1.3,0.0
1.54,50.0,51.3,-1.3,100.0
1.55,50.0,48.7,1.3,0.0
1.56,50.0,51.3,-1.3,100.0
1.57,50.0,48.7,1.3,0.0
1.58,50.0,51.3,-1.3,100.0
1.59,50.0,48.7,1.3,0.0
1.60,50.0,51.3,-1.3,100.0
1.61,50.0,48.7,1.3,0.0
1.62,50.0,51.3,-1.3,100.0
1.63,50.0,48.7,1.3,0.0
1.64,50.0,51.3,-1.3,100.0
1.65,50.0,48.7,1.3,0.0
1.66,50.0,51.3,-1.3,100.0
1.67,50.0,48.7,1.3,0.0
1.68,50.0,51.3,-1.3,100.0
1.69,50.0,48.7,1.3,0.0
1.70,50.0,51.3,-1.3,100.0
1.71,50.0,48.7,1.3,0.0
1.72,50.0,51.3,-1.3,100.0
1.73,50.0,48.7,1.3,0.0
1.74,50.0,51.3,-1.3,100.0
1.75,50.0,48.7,1.3,0.0
1.76,50.0,51.3,-1.3,100.0
1.77,50.0,48.7,1.3,0.0
1.78,50.0,51.3,-1.3,100.0
1.79,50.0,48.7,1.3,0.0
1.80,50.0,51.3,-1.3,100.0
1.81,50.0,48.7,1.3,0.0
1.82,50.0,51.3,-1.3,100.0
1.83,50.0,48.7,1.3,0.0
1.84,50.0,51.3,-1.3,100.0
1.85,50.0,48.7,1.3,0.0
1.86,50.0,51.3,-1.3,100.0
1.87,50.0,48.7,1.3,0.0
1.88,50.0,51.3,-1.3,100.0
1.89,50.0,48.7,1.3,0.0
1.90,50.0,51.3,-1.3,100.0
1.91,50.0,48.7,1.3,0.0
1.92,50.0,51.3,-1.3,100.0
1.93,50.0,48.7,1.3,0.0
1.94,50.0,51.3,-1.3,100.0
1.95,50.0,48.7,1.3,0.0
1.96,50.0,51.3,-1.3,100.0
1.97,50.0,48.7,1.3,0.0
1.98,50.0,51.3,-1.3,100.0
1.99,50.0,48.7,1.3,0.0
2.00,50.0,51.3,-1.3,100.0
2.01,50.0,48.7,1.3,0.0
2.02,50.0,51.3,-1.3,100.0
2.03,50.0,48.7,1.3,0.0
2.04,50.0,51.3,-1.3,100.0
2.05,50.0,48.7,1.3,0.0
2.06,50.0,51.3,-1.3,100.0
2.07,50.0,48.7,1.3,0.0
2.08,50.0,51.3,-1.3,100.0
2.09,50.0,48.7,1.3,0.0
2.10,50.0,51.3,-1.3,100.0
2.11,50.0,48.7,1.3,0.0
2.12,50.0,51.3,-1.3,100.0
2.13,50.0,48.7,1.3,0.0
2.14,50.0,51.3,-1.3,100.0
2.15,50.0,48.7,1.3,0.0
2.16,50.0,51.3,-1.3,100.0
2.17,50.0,48.7,1.3,0.0
2.18,50.0,51.3,-1.3,100.0
2.19,50.0,48.7,1.3,0.0
2.20,50.0,51.3,-1.3,100.0
2.21,50.0,48.7,1.3,0.0
2.22,50.0,51.3,-1.3,100.0
2.23,50.0,48.7,1.3,0.0
2.24,50.0,51.3,-1.3,100.0
2.25,50.0,48.7,1.3,0.0
2.26,50.0,51.3,-1.3,100.0
2.27,50.0,48.7,1.3,0.0
2.28,50.0,51.3,-1.3,100.0
2.29,50.0,48.7,1.3,0.0
2.30,50.0,51.3,-1.3,100.0
2.31,50.0,48.7,1.3,0.0
2.32,50.0,51.3,-1.3,100.0
2.33,50.0,48.7,1.3,0.0
2.34,50.0,51.3,-1.3,100.0
2.35,50.0,48.7,1.3,0.0
2.36,50.0,51.3,-1.3,100.0
2.37,50.0,48.7,1.3,0.0
2.38,50.0,51.3,-1.3,100.0
2.39,50.0,48.7,1.3,0.0
2.40,50.0,51.3,-1.3,100.0
2.41,50.0,48.7,1.3,0.0
2.42,50.0,51.3,-1.3,100.0
2.43,50.0,48.7,1.3,0.0
2.44,50.0,51.3,-1.3,100.0
2.45,50.0,48.7,1.3,0.0
2.46,50.0,51.3,-1.3,100.0
2.47,50.0,48.7,1.3,0.0
2.48,50.0,51.3,-1.3,100.0
2.49,50.0,48.7,1.3,0.0
2.50,50.0,51.3,-1.3,100.0
2.51,50.0,48.7,1.3,0.0
2.52,50.0,51.3,-1.3,100.0
