Time,Setpoint,Position,Error,Command
0.00,50.0,5.0,45.0,100.0
0.01,50.0,9.7,40.2,100.0
0.02,50.0,14.2,35.8,99.7
0.03,50.0,17.9,32.1,88.2
0.04,50.0,21.1,28.9,81.7
0.05,50.0,23.8,26.2,75.3
0.06,50.0,26.2,23.8,70.1
0.07,50.0,28.1,21.9,65.6
0.08,50.0,29.8,20.2,61.8
0.09,50.0,31.3,18.7,58.6
0.10,50.0,32.5,17.5,55.9
0.11,50.0,33.5,16.5,53.6
0.12,50.0,34.4,15.6,51.6
0.13,50.0,35.2,14.8,50.0
0.14,50.0,35.9,14.1,48.6
0.15,50.0,36.5,13.5,47.4
0.16,50.0,37.0,13.0,46.4
0.17,50.0,37.4,12.6,45.6
0.18,50.0,37.8,12.2,44.9
0.19,50.0,38.1,11.9,44.3
0.20,50.0,38.4,11.6,43.8
0.21,50.0,38.6,11.4,43.4
0.22,50.0,38.8,11.2,43.0
0.23,50.0,39.0,11.0,42.7
0.24,50.0,39.2,10.8,42.5
0.25,50.0,39.4,10.6,42.3
0.26,50.0,39.5,10.5,42.1
0.27,50.0,39.6,10.4,42.0
0.28,50.0,39.7,10.3,41.9
0.29,50.0,39.9,10.1,41.8
0.30,50.0,39.9,10.1,41.8
0.31,50.0,40.0,10.0,41.7
0.32,50.0,40.1,9.9,41.7
0.33,50.0,40.2,9.8,41.7
0.34,50.0,40.3,9.7,41.7
0.35,50.0,40.3,9.7,41.7
0.36,50.0,40.4,9.6,41.7
0.37,50.0,40.5,9.5,41.7
0.38,50.0,40.5,9.5,41.7
0.39,50.0,40.6,9.4,41.7
0.40,50.0,40.6,9.4,41.7
0.41,50.0,40.7,9.3,41.8
0.42,50.0,40.8,9.2,41.8
0.43,50.0,40.8,9.2,41.8
0.44,50.0,40.9,9.1,41.8
0.45,50.0,40.9,9.1,41.9
0.46,50.0,41.0,9.0,41.9
0.47,50.0,41.0,9.0,41.9
0.48,50.0,41.1,8.9,42.0
0.49,50.0,41.1,8.9,42.0
0.50,50.0,41.2,8.8,42.1
0.51,50.0,41.2,8.8,42.1
0.52,50.0,41.2,8.8,42.1
0.53,50.0,41.3,8.7,42.2
0.54,50.0,41.3,8.7,42.2
0.55,50.0,41.4,8.6,42.2
0.56,50.0,41.4,8.6,42.3
0.57,50.0,41.5,8.5,42.3
0.58,50.0,41.5,8.5,42.4
0.59,50.0,41.6,8.4,42.4
0.60,50.0,41.6,8.4,42.4
0.61,50.0,41.6,8.4,42.5
0.62,50.0,41.7,8.3,42.5
0.63,50.0,41.7,8.3,42.5
0.64,50.0,41.8,8.2,42.6
0.65,50.0,41.8,8.2,42.6
0.66,50.0,41.9,8.1,42.7
0.67,50.0,41.9,8.1,42.7
0.68,50.0,41.9,8.1,42.7
0.69,50.0,42.0,8.0,42.8
0.70,50.0,42.0,8.0,42.8
0.71,50.0,42.1,7.9,42.8
0.72,50.0,42.1,7.9,42.9
0.73,50.0,42.2,7.8,42.9
0.74,50.0,42.2,7.8,43.0
0.75,50.0,42.2,7.8,43.0
0.76,50.0,42.3,7.7,43.0
0.77,50.0,42.3,7.7,43.1
0.78,50.0,42.4,7.6,43.1
0.79,50.0,42.4,7.6,43.1
0.80,50.0,42.4,7.6,43.2
0.81,50.0,42.5,7.5,43.2
0.82,50.0,42.5,7.5,43.2
0.83,50.0,42.5,7.5,43.3
0.84,50.0,42.6,7.4,43.3
0.85,50.0,42.6,7.4,43.3
0.86,50.0,42.7,7.3,43.4
0.87,50.0,42.7,7.3,43.4
0.88,50.0,42.7,7.3,43.4
0.89,50.0,42.8,7.2,43.5
0.90,50.0,42.8,7.2,43.5
0.91,50.0,42.8,7.2,43.5
0.92,50.0,42.9,7.1,43.6
0.93,50.0,42.9,7.1,43.6
0.94,50.0,43.0,7.0,43.6
0.95,50.0,43.0,7.0,43.7
0.96,50.0,43.0,7.0,43.7
0.97,50.0,43.1,6.9,43.7
0.98,50.0,43.1,6.9,43.8
0.99,50.0,43.1,6.9,43.8
1.00,50.0,43.2,6.8,43.8
1.01,50.0,43.2,6.8,43.9
1.02,50.0,43.2,6.8,43.9
1.03,50.0,43.3,6.7,43.9
1.04,50.0,43.3,6.7,44.0
1.05,50.0,43.3,6.7,44.0
1.06,50.0,43.4,6.6,44.0
1.07,50.0,43.4,6.6,44.1
1.08,50.0,43.4,6.6,44.1
1.09,50.0,43.5,6.5,44.1
1.10,50.0,43.5,6.5,44.1
1.11,50.0,43.5,6.5,44.2
1.12,50.0,43.6,6.4,44.2
1.13,50.0,43.6,6.4,44.2
1.14,50.0,43.6,6.4,44.3
1.15,50.0,43.7,6.3,44.3
1.16,50.0,43.7,6.3,44.3
1.17,50.0,43.7,6.3,44.4
1.18,50.0,43.8,6.2,44.4
1.19,50.0,43.8,6.2,44.4
1.20,50.0,43.8,6.2,44.4
1.21,50.0,43.9,6.1,44.5
1.22,50.0,43.9,6.1,44.5
1.23,50.0,43.9,6.1,44.5
1.24,50.0,44.0,6.0,44.6
1.25,50.0,44.0,6.0,44.6
1.26,50.0,44.0,6.0,44.6
1.27,50.0,44.1,5.9,44.6
1.28,50.0,44.1,5.9,44.7
1.29,50.0,44.1,5.9,44.7
1.30,50.0,44.1,5.9,44.7
1.31,50.0,44.2,5.8,44.7
1.32,50.0,44.2,5.8,44.8
1.33,50.0,44.2,5.8,44.8
1.34,50.0,44.3,5.7,44.8
1.35,50.0,44.3,5.7,44.9
1.36,50.0,44.3,5.7,44.9
1.37,50.0,44.4,5.6,44.9
1.38,50.0,44.4,5.6,44.9
1.39,50.0,44.4,5.6,45.0
1.40,50.0,44.4,5.6,45.0
1.41,50.0,44.5,5.5,45.0
1.42,50.0,44.5,5.5,45.0
1.43,50.0,44.5,5.5,45.1
1.44,50.0,44.6,5.4,45.1
1.45,50.0,44.6,5.4,45.1
1.46,50.0,44.6,5.4,45.1
1.47,50.0,44.6,5.4,45.2
1.48,50.0,44.7,5.3,45.2
1.49,50.0,44.7,5.3,45.2
1.50,50.0,44.7,5.3,45.2
1.51,50.0,44.7,5.3,45.3
1.52,50.0,44.8,5.2,45.3
1.53,50.0,44.8,5.2,45.3
1.54,50.0,44.8,5.2,45.3
1.55,50.0,44.9,5.1,45.4
1.56,50.0,44.9,5.1,45.4
1.57,50.0,44.9,5.1,45.4
1.58,50.0,44.9,5.1,45.4
1.59,50.0,45.0,5.0,45.5
1.60,50.0,45.0,5.0,45.5
1.61,50.0,45.0,5.0,45.5
1.62,50.0,45.0,5.0,45.5
1.63,50.0,45.1,4.9,45.5
1.64,50.0,45.1,4.9,45.6
1.65,50.0,45.1,4.9,45.6
1.66,50.0,45.1,4.9,45.6
1.67,50.0,45.2,4.8,45.6
1.68,50.0,45.2,4.8,45.7
1.69,50.0,45.2,4.8,45.7
1.70,50.0,45.2,4.8,45.7
1.71,50.0,45.3,4.7,45.7
1.72,50.0,45.3,4.7,45.7
1.73,50.0,45.3,4.7,45.8
1.74,50.0,45.3,4.7,45.8
1.75,50.0,45.4,4.6,45.8
1.76,50.0,45.4,4.6,45.8
1.77,50.0,45.4,4.6,45.9
1.78,50.0,45.4,4.6,45.9
1.79,50.0,45.5,4.5,45.9
1.80,50.0,45.5,4.5,45.9
1.81,50.0,45.5,4.5,45.9
1.82,50.0,45.5,4.5,46.0
1.83,50.0,45.5,4.5,46.0
1.84,50.0,45.6,4.4,46.0
1.85,50.0,45.6,4.4,46.0
1.86,50.0,45.6,4.4,46.0
1.87,50.0,45.6,4.4,46.1
1.88,50.0,45.7,4.3,46.1
1.89,50.0,45.7,4.3,46.1
1.90,50.0,45.7,4.3,46.1
1.91,50.0,45.7,4.3,46.1
1.92,50.0,45.7,4.3,46.2
1.93,50.0,45.8,4.2,46.2
1.94,50.0,45.8,4.2,46.2
1.95,50.0,45.8,4.2,46.2
1.96,50.0,45.8,4.2,46.2
1.97,50.0,45.9,4.1,46.3
1.98,50.0,45.9,4.1,46.3
1.99,50.0,45.9,4.1,46.3
2.00,50.0,45.9,4.1,46.3
2.01,50.0,45.9,4.1,46.3
2.02,50.0,46.0,4.0,46.4
2.03,50.0,46.0,4.0,46.4
2.04,50.0,46.0,4.0,46.4
2.05,50.0,46.0,4.0,46.4
2.06,50.0,46.0,4.0,46.4
2.07,50.0,46.1,3.9,46.5
2.08,50.0,46.1,3.9,46.5
2.09,50.0,46.1,3.9,46.5
2.10,50.0,46.1,3.9,46.5
2.11,50.0,46.1,3.9,46.5
2.12,50.0,46.2,3.8,46.5
2.13,50.0,46.2,3.8,46.6
2.14,50.0,46.2,3.8,46.6
2.15,50.0,46.2,3.8,46.6
2.16,50.0,46.2,3.8,46.6
2.17,50.0,46.3,3.7,46.6
2.18,50.0,46.3,3.7,46.6
2.19,50.0,46.3,3.7,46.7
2.20,50.0,46.3,3.7,46.7
2.21,50.0,46.3,3.7,46.7
2.22,50.0,46.4,3.6,46.7
2.23,50.0,46.4,3.6,46.7
2.24,50.0,46.4,3.6,46.7
2.25,50.0,46.4,3.6,46.8
2.26,50.0,46.4,3.6,46.8
2.27,50.0,46.5,3.5,46.8
2.28,50.0,46.5,3.5,46.8
2.29,50.0,46.5,3.5,46.8
2.30,50.0,46.5,3.5,46.8
2.31,50.0,46.5,3.5,46.9
2.32,50.0,46.5,3.5,46.9
2.33,50.0,46.6,3.4,46.9
2.34,50.0,46.6,3.4,46.9
2.35,50.0,46.6,3.4,46.9
2.36,50.0,46.6,3.4,46.9
2.37,50.0,46.6,3.4,47.0
2.38,50.0,46.6,3.4,47.0
2.39,50.0,46.7,3.3,47.0
2.40,50.0,46.7,3.3,47.0
