Time,Setpoint,Position,Error,Command
0.00,50.0,5.0,45.0,100.0
0.01,50.0,9.7,40.2,100.0
0.02,50.0,14.3,35.7,100.0
0.03,50.0,18.5,31.5,100.0
0.04,50.0,22.6,27.4,100.0
0.05,50.0,26.4,23.6,98.5
0.06,50.0,29.2,20.8,82.5
0.07,50.0,31.7,18.3,78.6
0.08,50.0,33.6,16.4,69.8
0.09,50.0,35.2,14.8,66.1
0.10,50.0,36.5,13.5,60.9
0.11,50.0,37.6,12.4,58.0
0.12,50.0,38.4,11.6,54.9
0.13,50.0,39.2,10.8,52.8
0.14,50.0,39.7,10.3,50.8
0.15,50.0,40.2,9.8,49.3
0.16,50.0,40.6,9.4,48.0
0.17,50.0,40.9,9.1,47.1
0.18,50.0,41.2,8.8,46.2
0.19,50.0,41.4,8.6,45.6
0.20,50.0,41.6,8.4,45.0
0.21,50.0,41.7,8.3,44.6
0.22,50.0,41.9,8.1,44.2
0.23,50.0,42.0,8.0,43.9
0.24,50.0,42.1,7.9,43.7
0.25,50.0,42.1,7.9,43.5
0.26,50.0,42.2,7.8,43.4
0.27,50.0,42.2,7.8,43.3
0.28,50.0,42.3,7.7,43.2
0.29,50.0,42.3,7.7,43.1
0.30,50.0,42.4,7.6,43.0
0.31,50.0,42.4,7.6,43.0
0.32,50.0,42.4,7.6,42.9
0.33,50.0,42.4,7.6,42.9
0.34,50.0,42.5,7.5,42.9
0.35,50.0,42.5,7.5,42.9
0.36,50.0,42.5,7.5,42.9
0.37,50.0,42.5,7.5,42.9
0.38,50.0,42.5,7.5,42.9
0.39,50.0,42.6,7.4,42.9
0.40,50.0,42.6,7.4,42.9
0.41,50.0,42.6,7.4,42.9
0.42,50.0,42.6,7.4,42.9
0.43,50.0,42.6,7.4,42.9
0.44,50.0,42.6,7.4,42.9
0.45,50.0,42.6,7.4,42.9
0.46,50.0,42.7,7.3,42.9
0.47,50.0,42.7,7.3,42.9
0.48,50.0,42.7,7.3,42.9
0.49,50.0,42.7,7.3,42.9
0.50,50.0,42.7,7.3,42.9
0.51,50.0,42.7,7.3,43.0
0.52,50.0,42.7,7.3,43.0
0.53,50.0,42.7,7.3,43.0
0.54,50.0,42.8,7.2,43.0
0.55,50.0,42.8,7.2,43.0
0.56,50.0,42.8,7.2,43.0
0.57,50.0,42.8,7.2,43.0
0.58,50.0,42.8,7.2,43.0
0.59,50.0,42.8,7.2,43.1
0.60,50.0,42.8,7.2,43.1
0.61,50.0,42.8,7.2,43.1
0.62,50.0,42.9,7.1,43.1
0.63,50.0,42.9,7.1,43.1
0.64,50.0,42.9,7.1,43.1
0.65,50.0,42.9,7.1,43.1
0.66,50.0,42.9,7.1,43.1
0.67,50.0,42.9,7.1,43.1
0.68,50.0,42.9,7.1,43.2
0.69,50.0,42.9,7.1,43.2
0.70,50.0,43.0,7.0,43.2
0.71,50.0,43.0,7.0,43.2
0.72,50.0,43.0,7.0,43.2
0.73,50.0,43.0,7.0,43.2
0.74,50.0,43.0,7.0,43.2
0.75,50.0,43.0,7.0,43.2
0.76,50.0,43.0,7.0,43.2
0.77,50.0,43.0,7.0,43.3
0.78,50.0,43.0,7.0,43.3
0.79,50.0,43.1,6.9,43.3
0.80,50.0,43.1,6.9,43.3
0.81,50.0,43.1,6.9,43.3
0.82,50.0,43.1,6.9,43.3
0.83,50.0,43.1,6.9,43.3
0.84,50.0,43.1,6.9,43.3
0.85,50.0,43.1,6.9,43.3
0.86,50.0,43.1,6.9,43.4
0.87,50.0,43.2,6.8,43.4
0.88,50.0,43.2,6.8,43.4
0.89,50.0,43.2,6.8,43.4
0.90,50.0,43.2,6.8,43.4
0.91,50.0,43.2,6.8,43.4
0.92,50.0,43.2,6.8,43.4
0.93,50.0,43.2,6.8,43.4
0.94,50.0,43.2,6.8,43.4
0.95,50.0,43.2,6.8,43.5
0.96,50.0,43.3,6.7,43.5
0.97,50.0,43.3,6.7,43.5
0.98,50.0,43.3,6.7,43.5
0.99,50.0,43.3,6.7,43.5
1.00,50.0,43.3,6.7,43.5
1.01,50.0,43.3,6.7,43.5
1.02,50.0,43.3,6.7,43.5
1.03,50.0,43.3,6.7,43.5
1.04,50.0,43.3,6.7,43.6
1.05,50.0,43.4,6.6,43.6
1.06,50.0,43.4,6.6,43.6
1.07,50.0,43.4,6.6,43.6
1.08,50.0,43.4,6.6,43.6
1.09,50.0,43.4,6.6,43.6
1.10,50.0,43.4,6.6,43.6
1.11,50.0,43.4,6.6,43.6
1.12,50.0,43.4,6.6,43.6
1.13,50.0,43.4,6.6,43.7
1.14,50.0,43.5,6.5,43.7
1.15,50.0,43.5,6.5,43.7
1.16,50.0,43.5,6.5,43.7
1.17,50.0,43.5,6.5,43.7
1.18,50.0,43.5,6.5,43.7
1.19,50.0,43.5,6.5,43.7
1.20,50.0,43.5,6.5,43.7
1.21,50.0,43.5,6.5,43.7
1.22,50.0,43.5,6.5,43.7
1.23,50.0,43.6,6.4,43.8
1.24,50.0,43.6,6.4,43.8
1.25,50.0,43.6,6.4,43.8
1.26,50.0,43.6,6.4,43.8
1.27,50.0,43.6,6.4,43.8
1.28,50.0,43.6,6.4,43.8
1.29,50.0,43.6,6.4,43.8
1.30,50.0,43.6,6.4,43.8
1.31,50.0,43.6,6.4,43.8
1.32,50.0,43.6,6.4,43.9
1.33,50.0,43.7,6.3,43.9
1.34,50.0,43.7,6.3,43.9
1.35,50.0,43.7,6.3,43.9
1.36,50.0,43.7,6.3,43.9
1.37,50.0,43.7,6.3,43.9
1.38,50.0,43.7,6.3,43.9
1.39,50.0,43.7,6.3,43.9
1.40,50.0,43.7,6.3,43.9
1.41,50.0,43.7,6.3,43.9
1.42,50.0,43.8,6.2,44.0
1.43,50.0,43.8,6.2,44.0
1.44,50.0,43.8,6.2,44.0
1.45,50.0,43.8,6.2,44.0
1.46,50.0,43.8,6.2,44.0
1.47,50.0,43.8,6.2,44.0
1.48,50.0,43.8,6.2,44.0
1.49,50.0,43.8,6.2,44.0
1.50,50.0,43.8,6.2,44.0
1.51,50.0,43.8,6.2,44.0
1.52,50.0,43.9,6.1,44.1
1.53,50.0,43.9,6.1,44.1
1.54,50.0,43.9,6.1,44.1
1.55,50.0,43.9,6.1,44.1
1.56,50.0,43.9,6.1,44.1
1.57,50.0,43.9,6.1,44.1
1.58,50.0,43.9,6.1,44.1
1.59,50.0,43.9,6.1,44.1
1.60,50.0,43.9,6.1,44.1
1.61,50.0,44.0,6.0,44.1
1.62,50.0,44.0,6.0,44.2
1.63,50.0,44.0,6.0,44.2
1.64,50.0,44.0,6.0,44.2
1.65,50.0,44.0,6.0,44.2
1.66,50.0,44.0,6.0,44.2
1.67,50.0,44.0,6.0,44.2
1.68,50.0,44.0,6.0,44.2
1.69,50.0,44.0,6.0,44.2
1.70,50.0,44.0,6.0,44.2
1.71,50.0,44.1,5.9,44.2
1.72,50.0,44.1,5.9,44.3
1.73,50.0,44.1,5.9,44.3
1.74,50.0,44.1,5.9,44.3
1.75,50.0,44.1,5.9,44.3
1.76,50.0,44.1,5.9,44.3
1.77,50.0,44.1,5.9,44.3
1.78,50.0,44.1,5.9,44.3
1.79,50.0,44.1,5.9,44.3
1.80,50.0,44.1,5.9,44.3
1.81,50.0,44.2,5.8,44.3
1.82,50.0,44.2,5.8,44.3
1.83,50.0,44.2,5.8,44.4
1.84,50.0,44.2,5.8,44.4
1.85,50.0,44.2,5.8,44.4
1.86,50.0,44.2,5.8,44.4
1.87,50.0,44.2,5.8,44.4
1.88,50.0,44.2,5.8,44.4
1.89,50.0,44.2,5.8,44.4
1.90,50.0,44.2,5.8,44.4
1.91,50.0,44.2,5.8,44.4
1.92,50.0,44.3,5.7,44.4
1.93,50.0,44.3,5.7,44.5
1.94,50.0,44.3,5.7,44.5
1.95,50.0,44.3,5.7,44.5
1.96,50.0,44.3,5.7,44.5
1.97,50.0,44.3,5.7,44.5
1.98,50.0,44.3,5.7,44.5
1.99,50.0,44.3,5.7,44.5
2.00,50.0,44.3,5.7,44.5
2.01,50.0,44.3,5.7,44.5
2.02,50.0,44.4,5.6,44.5
2.03,50.0,44.4,5.6,44.5
2.04,50.0,44.4,5.6,44.6
2.05,50.0,44.4,5.6,44.6
2.06,50.0,44.4,5.6,44.6
2.07,50.0,44.4,5.6,44.6
2.08,50.0,44.4,5.6,44.6
2.09,50.0,44.4,5.6,44.6
2.10,50.0,44.4,5.6,44.6
2.11,50.0,44.4,5.6,44.6
2.12,50.0,44.4,5.6,44.6
2.13,50.0,44.5,5.5,44.6
2.14,50.0,44.5,5.5,44.6
2.15,50.0,44.5,5.5,44.7
2.16,50.0,44.5,5.5,44.7
2.17,50.0,44.5,5.5,44.7
2.18,50.0,44.5,5.5,44.7
2.19,50.0,44.5,5.5,44.7
2.20,50.0,44.5,5.5,44.7
2.21,50.0,44.5,5.5,44.7
2.22,50.0,44.5,5.5,44.7
2.23,50.0,44.5,5.5,44.7
2.24,50.0,44.6,5.4,44.7
2.25,50.0,44.6,5.4,44.7
2.26,50.0,44.6,5.4,44.7
2.27,50.0,44.6,5.4,44.8
2.28,50.0,44.6,5.4,44.8
2.29,50.0,44.6,5.4,44.8
2.30,50.0,44.6,5.4,44.8
2.31,50.0,44.6,5.4,44.8
2.32,50.0,44.6,5.4,44.8
2.33,50.0,44.6,5.4,44.8
2.34,50.0,44.6,5.4,44.8
2.35,50.0,44.7,5.3,44.8
2.36,50.0,44.7,5.3,44.8
2.37,50.0,44.7,5.3,44.8
2.38,50.0,44.7,5.3,44.9
2.39,50.0,44.7,5.3,44.9
2.40,50.0,44.7,5.3,44.9
